221	1011	4	875244792
85	512	3	879456199
77	641	5	884733621
200	392	5	884128858
559	70	3	891035917
766	89	4	891309090
588	731	2	890026705
459	100	1	879562859
222	825	3	878184675
379	200	4	880524582
184	739	3	889910257
474	291	4	887916567
622	215	3	882592523
524	129	5	884322047
432	15	4	889416456
497	449	2	879310966
280	468	4	891702028
294	1067	4	877819421
201	508	4	884140458
291	95	4	875086921
694	172	5	875727399
101	596	3	877136564
62	1012	3	879372633
715	88	3	875964633
291	106	4	874805958
815	1157	2	884267828
773	196	4	888540467
592	96	5	882956241
290	732	4	880473777
280	448	3	891701765
298	418	4	884183406
666	632	4	880568028
608	661	3	880405927
297	748	2	874954060
6	242	4	883268170
280	86	4	891700475
109	550	5	880579107
435	246	5	884134345
15	257	4	879455821
457	69	5	882396659
64	141	4	889739517
870	396	3	875680668
267	33	5	878972650
299	216	5	889502688
291	70	4	874868146
493	318	5	884132315
716	177	2	879794935
18	1	5	880130802
889	208	4	880181275
927	501	4	879190422
484	22	5	891194841
629	268	5	880116722
472	140	3	875980823
128	622	4	879968332
749	627	2	878848951
59	357	5	888204349
435	64	5	884131036
854	3	1	882813047
894	511	4	879897198
466	144	5	890284707
234	258	2	891033627
181	1137	1	878962392
938	288	5	891354203
345	161	3	884993555
330	200	5	876546668
38	392	5	892430120
200	141	4	884129346
275	265	4	880314031
488	180	2	891294439
587	269	3	892870956
328	553	3	885048235
435	127	4	884131681
181	225	3	878963038
883	661	4	891718914
577	403	4	880475187
334	216	3	891546348
313	218	2	891029847
435	392	3	884131404
476	792	4	883365019
890	435	5	882574437
454	633	2	881959745
243	215	3	879988046
848	89	5	887040097
345	393	3	884993485
215	197	4	891435357
378	118	4	880044879
764	1028	4	876244181
802	444	4	875985840
532	946	5	888635366
805	259	1	879971049
506	295	4	879074845
600	177	5	888451583
128	1063	2	879967047
429	708	3	882386895
918	485	3	891987689
292	479	4	881105516
774	412	3	888558924
360	248	4	880354484
305	175	4	886322893
198	248	3	884205385
500	237	3	883865483
896	993	4	887235498
299	603	3	877880474
665	157	3	884294671
311	47	2	884365654
717	327	3	884641681
64	434	4	889739052
324	328	4	880575002
174	655	5	886514168
561	510	3	885808673
399	401	3	882350710
189	274	4	893264735
664	684	4	876526580
18	778	2	880131077
334	810	3	891549267
197	127	5	891409839
654	284	4	887863914
771	172	4	880659482
342	169	5	875318907
312	657	5	891698485
795	926	2	880561783
313	333	4	891012877
141	151	2	884585039
222	941	3	881059736
934	179	2	891191600
551	150	3	892782807
747	133	5	888732695
393	274	4	887744549
624	544	4	879792557
246	254	1	884924710
655	956	3	888984538
430	527	4	877226209
379	855	4	880961506
458	79	5	886396192
655	304	2	888475101
749	1139	3	878850084
144	527	5	888105665
201	55	4	884114471
7	671	5	891351728
562	483	4	879195954
75	508	4	884050102
457	540	3	882551740
435	8	3	884131576
778	226	4	890670638
524	172	3	884634849
916	393	2	880845067
291	403	4	874835165
622	298	4	882590559
716	515	5	879793293
59	198	5	888204389
321	59	4	879440687
833	642	3	875038626
634	547	4	877979407
938	1013	2	891357042
634	411	4	877018059
91	328	4	891438245
378	528	5	880056034
59	184	4	888206094
868	96	2	877107056
374	322	4	880392482
896	686	3	887159146
934	234	2	891191875
501	979	3	883348308
506	230	4	874873847
297	70	5	875239619
406	605	5	882480749
286	202	4	877532204
476	1118	3	883364392
59	1119	4	888206094
327	423	3	887822752
921	125	3	879379774
484	823	4	891195506
932	441	2	891252504
756	418	3	874829333
286	819	3	876521835
342	584	4	874984430
848	480	5	887040025
184	642	4	889909446
268	544	3	875743090
875	428	4	876465112
770	15	5	875971902
254	379	1	886474650
682	87	5	888517235
796	26	2	893047208
184	321	5	889906967
749	127	4	881073104
854	106	3	882813248
232	272	4	885939511
328	511	4	885045678
868	189	5	877109300
622	755	4	882670211
924	511	5	885457827
435	7	4	884131597
795	768	3	883252985
269	237	2	891446368
44	665	1	883613372
932	589	5	891250609
796	161	5	893048377
474	285	5	888628044
286	171	4	877531791
221	257	4	875244475
562	174	5	879196105
618	33	2	891309351
82	479	4	878769703
151	1041	3	879543306
709	203	4	879849372
82	238	3	878769373
943	195	4	888639407
102	195	4	888801360
110	326	4	886987417
13	690	3	881514811
398	58	4	875717106
661	64	4	876014060
484	468	5	891194886
805	661	4	881697713
748	143	3	879454546
653	182	3	878854051
393	578	4	889728413
835	25	5	891032764
234	154	3	892078605
896	288	3	887235788
758	436	3	881978572
766	514	4	891308927
387	11	3	886480325
864	123	4	888890594
488	28	4	891293805
